bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
4,0,13,8,0,0,0,0,280,2203,83,4389,1,0,1,0,0,0,0,0,35,40,7,6,0,0,40,41,8,6,0,0,0,0,1,0,1,0,57,9,40,1,1,10,4,0,0,5,2,0,0,0,0
7,0,28,7,23,3,0,0,148,6360,761,487,2,0,4,0,2,1,1,0,47,37,3,5,36,38,55,37,3,5,32,35,4,0,8,0,5,1,67,11,44,1,0,71,19,1,1,10,2,1,0,82,17
2,0,22,9,4,3,0,0,304,2359,2662,5996,0,0,1,0,0,0,2,0,19,24,6,5,0,0,24,27,4,4,0,0,0,0,0,0,3,2,79,5,21,0,0,26,6,0,0,5,2,0,0,0,0
5,2,19,4,5,3,0,0,426,997,1785,4649,0,0,1,0,0,0,2,1,27,30,4,6,28,29,33,32,3,5,29,29,0,0,1,0,2,0,72,9,40,0,0,37,10,0,0,5,1,0,0,5,4
6,0,20,2,3,1,0,0,334,1745,321,3401,1,1,0,0,0,0,0,0,48,46,3,3,26,64,50,50,3,3,20,64,0,0,4,1,0,0,52,18,50,4,1,27,4,0,0,5,2,0,0,6,1
4,2,14,5,1,1,0,0,94,1012,1311,2718,2,1,1,0,0,0,2,1,26,44,5,5,40,24,19,51,5,5,36,24,2,0,1,1,2,2,57,9,38,0,0,27,13,0,0,7,3,0,0,4,2
6,1,20,5,16,2,0,0,89,7181,1429,1264,4,0,2,1,2,0,0,0,29,28,5,6,36,40,34,34,6,7,31,37,4,1,4,0,1,0,65,10,69,0,0,47,7,0,0,11,3,0,0,45,17
5,0,61,14,29,10,0,0,91,10033,706,3302,8,0,2,1,3,1,0,0,84,77,2,2,44,28,90,85,2,2,40,25,6,3,5,2,16,3,56,12,61,2,0,26,3,0,0,23,5,3,0,52,7
5,2,13,5,1,1,1,0,208,890,1401,2857,2,1,1,0,0,0,2,1,27,44,5,5,40,24,19,48,5,5,36,24,2,0,1,1,3,2,64,10,44,0,0,27,12,0,0,6,3,0,0,4,2
7,3,56,16,17,4,0,0,185,8695,599,2111,4,0,2,0,2,0,2,0,40,47,3,4,38,31,33,32,3,4,34,25,1,1,10,2,10,3,77,11,60,2,0,24,13,0,0,8,4,2,0,73,19
1,0,11,0,4,1,0,0,581,2752,476,3728,0,0,1,0,4,0,1,0,5,10,9,9,40,40,5,7,9,9,42,40,2,0,2,0,2,0,82,2,34,1,1,37,13,0,0,5,0,0,0,8,2
1,1,23,8,5,1,1,1,197,6243,1600,1507,1,0,0,0,1,1,1,0,50,45,3,4,28,26,49,53,3,3,26,24,2,1,1,1,1,1,65,9,46,0,0,26,13,0,0,6,0,0,0,11,3
3,1,35,6,22,7,0,0,228,11039,334,4223,5,3,0,0,3,2,0,0,20,75,4,3,34,35,20,96,5,2,25,29,2,1,5,3,12,7,136,9,36,3,2,20,9,0,0,12,0,1,1,13,5
4,2,12,5,1,1,0,0,194,916,1346,2796,2,1,1,0,0,0,2,1,19,44,6,5,40,24,19,48,5,5,36,24,2,0,1,1,2,2,57,8,41,0,0,25,13,0,0,6,3,0,0,4,2
7,1,26,6,7,1,0,0,77,1563,1753,5124,0,0,1,1,0,0,2,0,31,28,8,5,32,36,34,34,8,5,29,30,0,0,0,0,4,0,56,11,45,0,0,48,8,0,0,4,0,0,0,10,5
