bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
8,3,64,17,47,17,0,0,124,4422,953,668,2,1,1,1,1,1,4,1,60,70,4,3,59,63,60,107,3,3,50,50,5,0,12,2,6,2,200,6,22,1,0,143,34,1,0,0,0,1,1,249,76
16,5,63,20,117,28,0,0,284,2560,589,1284,5,0,8,1,33,5,3,1,111,103,4,3,53,48,116,116,5,4,45,36,12,2,99,25,31,5,195,12,44,2,0,314,95,0,0,2,0,4,1,91,37
0,0,42,12,7,0,1,0,386,6176,2054,1552,0,0,1,0,0,0,2,0,5,6,13,9,61,0,5,5,13,11,52,0,2,0,8,0,4,1,133,2,20,0,0,29,2,0,0,10,6,0,0,22,0
25,4,67,16,149,31,0,0,126,2468,531,1298,6,0,9,2,65,9,4,1,100,114,3,3,53,65,113,117,4,4,45,56,17,1,118,17,24,7,95,15,47,2,0,400,113,0,0,3,0,2,1,109,18
0,0,67,21,5,2,0,0,11,4078,1789,842,1,1,0,0,1,0,0,0,67,84,3,2,53,34,67,84,3,2,50,36,0,0,3,1,2,0,103,1,2,0,0,25,7,1,0,15,7,0,0,113,13
4,0,55,22,10,5,0,0,171,9489,418,3569,2,1,3,2,0,0,1,0,13,30,5,5,30,0,13,34,5,4,26,0,1,0,4,4,1,0,95,2,7,1,1,86,29,0,0,4,0,0,0,4,0
2,2,16,0,15,1,0,0,740,5443,704,1917,0,0,2,0,0,0,1,1,3,20,13,10,64,66,4,4,13,11,50,60,3,1,12,3,3,0,201,4,6,1,0,34,5,0,0,2,0,0,0,190,24
5,2,27,7,12,7,0,0,255,4688,561,2864,4,0,0,0,0,0,2,0,19,50,6,3,54,70,5,60,8,3,51,60,4,2,10,3,30,11,137,3,15,1,0,77,28,0,0,13,0,0,0,38,13
28,12,92,23,161,29,1,0,146,2381,815,689,6,2,6,2,72,23,5,2,117,90,2,3,50,59,113,113,2,3,41,60,32,8,138,42,19,4,130,8,42,1,0,566,132,3,0,8,2,1,0,273,20
5,2,60,16,15,10,0,0,94,6904,1835,1235,1,0,1,1,1,1,1,1,15,14,10,8,39,45,15,15,9,8,36,41,3,3,6,5,1,0,145,5,8,0,0,63,22,0,0,4,0,0,0,16,10
3,2,35,9,9,2,0,0,169,4564,1299,2122,4,2,0,0,0,0,2,2,40,48,7,5,46,45,14,58,6,4,45,37,3,0,11,3,17,12,153,5,11,0,0,73,24,0,0,11,2,0,0,56,5
0,0,1,0,0,0,0,0,995,10026,3366,1492,0,0,0,0,0,0,1,0,4,30,12,7,47,39,4,16,12,4,44,38,0,0,0,0,3,0,158,1,7,0,0,1,0,0,0,0,0,0,0,73,11
44,15,72,19,312,93,3,1,110,1506,200,424,6,2,9,7,89,15,15,3,135,133,3,3,54,45,135,137,3,3,45,45,93,28,186,56,37,9,117,10,39,6,2,885,294,6,2,19,7,0,0,259,39
31,13,41,5,208,83,1,1,158,1912,561,539,10,5,9,0,44,15,4,0,143,141,2,3,54,55,128,135,2,3,47,50,48,12,197,82,38,11,106,8,31,3,0,541,217,1,0,9,2,3,1,365,129
0,0,0,0,8,2,0,0,1225,7021,2536,1525,1,0,0,0,0,0,0,0,14,32,21,8,53,52,14,34,21,5,45,42,0,0,0,0,6,0,172,1,4,0,0,1,0,0,0,0,0,0,0,124,25
6,1,119,16,112,20,0,0,51,3523,425,994,6,3,0,0,13,3,1,1,108,118,2,2,50,50,106,118,2,2,42,44,13,2,109,38,23,5,137,4,21,2,1,338,52,1,0,16,0,1,1,166,82
13,9,61,19,92,23,2,1,21,3022,187,344,6,3,4,2,17,5,12,4,109,98,4,3,51,49,107,114,5,2,40,47,14,3,107,21,10,2,91,3,36,7,3,384,109,4,1,1,0,2,1,233,45
4,3,32,4,44,20,0,0,194,6846,633,608,1,1,3,1,1,0,1,0,102,104,2,2,51,51,102,98,2,2,45,44,1,0,37,14,5,1,69,1,8,2,0,195,71,1,0,8,4,0,0,159,116
0,0,5,1,4,0,0,0,433,5693,2442,1729,2,2,0,0,0,0,0,0,46,55,3,3,49,43,60,61,3,3,45,40,0,0,6,0,3,1,101,4,14,0,0,23,8,0,0,4,2,0,0,128,51
32,6,77,12,223,44,1,0,87,2184,210,943,7,0,7,3,84,18,5,1,120,115,3,3,51,49,121,116,3,3,44,36,54,2,153,27,32,8,103,11,47,7,2,556,136,1,0,1,0,4,0,170,39
11,6,60,29,33,16,0,0,103,5217,1809,482,3,3,1,1,3,2,2,0,64,62,5,4,55,51,102,96,4,3,48,45,4,2,13,3,12,5,204,6,11,0,0,106,60,2,1,9,4,1,1,299,102
14,2,97,16,252,62,0,0,128,2306,352,1082,12,2,3,1,53,13,5,2,141,126,2,2,48,51,141,126,2,3,45,48,36,8,203,56,65,15,144,2,21,5,2,567,146,0,0,14,2,0,0,68,12
9,5,45,9,45,7,2,0,220,3656,318,300,3,1,3,0,8,3,8,5,23,31,4,7,53,59,4,5,4,7,45,49,4,1,48,12,7,1,212,3,13,3,1,167,54,2,1,2,0,1,1,162,30
4,2,89,38,19,6,0,0,102,4221,1318,1796,2,0,1,1,4,1,2,1,122,77,4,4,34,36,122,102,4,3,30,34,5,2,23,8,20,4,168,2,5,0,0,65,15,0,0,11,6,3,1,146,59
1,0,12,2,4,0,0,0,369,5936,2616,2355,0,0,0,0,1,0,1,1,21,26,8,9,47,45,19,16,5,9,45,40,0,0,2,0,0,0,105,4,15,0,0,26,1,0,0,0,0,0,0,15,3
7,2,63,15,31,9,0,0,158,3608,765,1937,5,2,1,1,3,1,1,0,42,51,3,3,51,48,4,58,3,3,45,48,2,0,37,6,29,9,199,6,10,2,0,75,21,0,0,4,0,3,0,37,1
2,0,14,4,5,1,1,0,141,7474,2601,4941,0,0,1,1,0,0,0,0,2,2,10,4,53,56,2,2,10,1,47,53,0,0,1,1,1,0,125,1,3,0,0,18,4,0,0,0,0,0,0,8,6
2,1,45,10,11,4,0,0,195,9902,2560,2522,0,0,0,0,2,1,2,0,53,46,5,4,42,46,57,56,5,3,40,40,2,0,4,2,2,0,95,4,18,0,0,65,20,0,0,2,0,0,0,11,5
3,1,59,10,20,3,0,0,147,4752,1476,1088,1,0,1,0,1,0,3,1,7,40,5,5,59,50,7,9,6,6,50,50,1,0,3,2,7,1,196,3,11,0,0,51,7,0,0,0,0,1,0,175,19
40,21,103,39,403,159,2,1,116,1390,550,251,8,3,3,0,133,48,14,4,170,162,2,2,58,51,160,159,1,2,43,40,108,28,331,133,82,11,110,6,36,6,0,1014,511,4,3,11,6,1,0,196,114
1,1,33,18,19,8,0,0,274,5931,2249,280,0,0,1,1,1,1,2,0,11,18,3,3,52,63,12,12,3,3,43,60,0,0,0,0,18,3,263,7,14,0,0,18,11,1,1,0,0,0,0,46,14
7,4,74,28,13,7,0,0,204,9168,168,3362,2,2,3,2,0,0,1,1,37,31,3,6,34,0,37,36,4,6,32,0,1,1,4,4,2,1,102,3,13,1,1,109,49,0,0,9,2,0,0,45,0
