price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
1550.0,50,31.0,1979,4,0,13,8,0,0,0,0,280,2203,83,4389,7,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,10,4,0,0,5,2,0,0,0,0
2087.6,68,30.7,1964,7,0,28,7,23,3,0,0,148,6360,761,487,2,5,2,0,4,0,2,1,1,0,36,38,32,35,4,0,8,0,5,1,1,1,0,71,19,1,1,10,2,1,0,82,17
7626.0,82,93.0,2011,2,0,22,9,4,3,0,0,304,2359,2662,5996,7,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,3,0,0,26,6,0,0,5,2,0,0,0,0
2294.0,74,31.0,1986,5,2,19,4,5,3,0,0,426,997,1785,4649,7,9,0,0,1,0,0,0,2,1,28,29,29,29,0,0,1,0,2,0,1,0,0,37,10,0,0,5,1,0,0,5,4
1664.0,52,32.0,1968,6,0,20,2,3,1,0,0,334,1745,321,3401,4,5,1,1,0,0,0,0,0,0,26,64,20,64,0,0,4,1,0,0,1,4,1,27,4,0,0,5,2,0,0,6,1
6985.0,55,127.0,2000,4,2,14,5,1,1,0,0,94,1012,1311,2718,3,14,2,1,1,0,0,0,2,1,40,24,36,24,2,0,1,1,2,2,4,0,0,27,13,0,0,7,3,0,0,4,2
3575.0,65,55.0,1984,6,1,20,5,16,2,0,0,89,7181,1429,1264,8,12,4,0,2,1,2,0,0,0,36,40,31,37,4,1,4,0,1,0,2,0,0,47,7,0,0,11,3,0,0,45,17
2262.4,56,40.4,0,5,0,61,14,29,10,0,0,91,10033,706,3302,1,3,8,0,2,1,3,1,0,0,44,28,40,25,6,3,5,2,16,3,2,2,0,26,3,0,0,23,5,3,0,52,7
6139.0,70,87.7,2002,5,2,13,5,1,1,1,0,208,890,1401,2857,13,14,2,1,1,0,0,0,2,1,40,24,36,24,2,0,1,1,3,2,3,0,0,27,12,0,0,6,3,0,0,4,2
2343.0,71,33.0,1963,7,3,56,16,17,4,0,0,185,8695,599,2111,3,5,4,0,2,0,2,0,2,0,38,31,34,25,1,1,10,2,10,3,1,2,0,24,13,0,0,8,4,2,0,73,19
7420.0,70,106.0,2011,1,0,11,0,4,1,0,0,581,2752,476,3728,4,17,0,0,1,0,4,0,1,0,40,40,42,40,2,0,2,0,2,0,2,1,1,37,13,0,0,5,0,0,0,8,2
2814.5,65,43.3,19777,1,1,23,8,5,1,1,1,197,6243,1600,1507,2,9,1,0,0,0,1,1,1,0,28,26,26,24,2,1,1,1,1,1,2,0,0,26,13,0,0,6,0,0,0,11,3
34816.0,136,256.0,1,3,1,35,6,22,7,0,0,228,11039,334,4223,7,8,5,3,0,0,3,2,0,0,34,35,25,29,2,1,5,3,12,7,4,3,2,20,9,0,0,12,0,1,1,13,5
4350.0,58,75.0,1999,4,2,12,5,1,1,0,0,194,916,1346,2796,9,10,2,1,1,0,0,0,2,1,40,24,36,24,2,0,1,1,2,2,2,0,0,25,13,0,0,6,3,0,0,4,2
3800.4999999999995,55,69.1,1981,7,1,26,6,7,1,0,0,77,1563,1753,5124,3,9,0,0,1,1,0,0,2,0,32,36,29,30,0,0,0,0,4,0,3,0,0,48,8,0,0,4,0,0,0,10,5
3276.0,63,52.0,1979,7,5,30,8,17,15,0,0,89,6791,1141,1055,12,12,1,1,2,2,2,1,1,1,34,35,30,30,4,3,11,6,7,1,2,0,0,56,25,0,0,13,3,0,0,87,53
2262.0,52,43.5,1962,2,1,9,5,3,0,1,0,104,6495,820,1119,5,5,1,0,1,1,0,0,1,0,35,35,33,30,0,0,1,0,1,1,2,1,0,30,16,0,0,9,5,0,0,32,13
2295.0,51,45.0,1965,3,1,7,3,0,0,0,0,362,2733,1032,2713,5,5,1,1,0,0,2,0,0,0,38,31,32,24,2,1,1,0,5,2,2,0,0,8,7,0,0,2,0,1,1,55,9
2091.0,41,51.0,1985,3,0,8,4,3,0,0,0,447,7550,1402,1671,3,25,4,0,2,0,0,0,0,0,40,16,35,16,1,0,1,0,1,0,1,0,0,15,4,0,0,6,2,0,0,19,1
1798.0,58,31.0,1967,6,3,15,9,3,2,0,0,179,680,403,3411,5,5,1,0,1,0,0,0,1,0,38,0,38,0,1,0,1,0,2,0,1,2,1,37,14,0,0,0,0,0,0,2,0
1541.0,67,23.0,1977,8,0,25,5,4,1,2,2,196,1228,1039,3693,6,9,0,0,1,0,1,1,1,1,27,0,30,0,2,1,2,0,4,1,1,0,0,28,11,0,0,9,2,0,0,5,0
1122.0,34,33.0,1958,4,0,9,3,1,0,0,0,172,1986,651,1693,1,2,3,2,0,0,0,0,0,0,46,56,42,56,0,0,2,0,0,0,1,1,0,10,2,0,0,7,3,0,0,3,2
9594.0,78,123.0,2009,11,5,38,15,32,17,0,0,214,7871,244,1081,12,14,4,0,0,0,1,0,1,1,42,49,32,25,7,0,13,8,7,2,3,5,3,39,20,0,0,13,7,2,0,52,15
945.0,45,21.0,1976,2,0,18,0,4,0,1,0,550,4492,846,526,4,5,2,0,0,0,1,1,0,0,31,0,23,0,2,1,0,0,0,0,1,1,0,18,3,2,0,7,0,0,0,16,0
