price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
11484.0,87,132.0,1911.0,25,4,67,16,149,31,0,0,126,2468,531,1298,5,7,6,0,9,2,65,9,4,1,53,65,45,56,17,1,118,17,24,7,4,2,0,400,113,0,0,3,0,2,1,109.0,18.0
12969.0,131,99.0,1903.0,28,12,92,23,161,29,1,0,146,2381,815,689,5,7,6,2,6,2,72,23,5,2,50,59,41,60,32,8,138,42,19,4,3,1,0,566,132,3,0,8,2,1,0,273.0,20.0
12529.2,106,118.2,1898.0,31,13,41,5,208,83,1,1,158,1912,561,539,2,6,10,5,9,0,44,15,4,0,54,55,47,50,48,12,197,82,38,11,4,3,0,541,217,1,0,9,2,3,1,365.0,129.0
6597.5,91,72.5,1900.0,13,9,61,19,92,23,2,1,21,3022,187,344,6,6,6,3,4,2,17,5,12,4,51,49,40,47,14,3,107,21,10,2,4,7,3,384,109,4,1,1,0,2,1,233.0,45.0
23793.0,103,231.0,0.0,32,6,77,12,223,44,1,0,87,2184,210,943,6,7,7,0,7,3,84,18,5,1,51,49,44,36,54,2,153,27,32,8,9,7,2,556,136,1,0,1,0,4,0,170.0,39.0
17480.0,190,92.0,2015.0,9,5,45,9,45,7,2,0,220,3656,318,300,9,16,3,1,3,0,8,3,8,5,53,59,45,49,4,1,48,12,7,1,3,3,1,167,54,2,1,2,0,1,1,162.0,30.0
16942.0,197,86.0,2012.0,3,1,59,10,20,3,0,0,147,4752,1476,1088,7,10,1,0,1,0,1,0,3,1,59,50,50,50,1,0,3,2,7,1,3,0,0,51,7,0,0,0,0,1,0,175.0,19.0
45360.0,270,168.0,2006.0,7,0,71,8,39,6,0,0,205,4935,975,1396,3,8,0,0,0,0,4,0,1,0,61,72,55,65,2,0,7,2,12,3,3,1,0,75,3,0,0,9,0,1,0,64.0,23.0
18000.0,240,75.0,2013.0,13,7,84,20,88,30,1,0,181,4131,731,370,4,10,2,1,3,1,8,1,3,1,59,62,50,50,18,1,34,8,12,4,1,1,0,255,98,1,1,0,0,1,1,250.0,183.0
10185.0,97,105.0,1880.0,57,12,94,8,444,136,5,1,122,998,165,140,4,5,11,2,9,7,159,39,10,4,50,57,40,50,132,46,289,74,61,15,3,8,2,1168,312,7,2,20,5,2,0,366.0,113.0
7436.800000000001,112,66.4,1938.0,9,3,43,29,22,2,0,0,36,4509,1115,240,2,7,2,0,2,0,3,1,2,0,57,53,48,47,4,1,13,6,8,5,2,0,0,91,20,1,1,6,4,1,1,270.0,137.0
9955.0,181,55.0,2009.0,12,0,22,0,26,2,0,0,597,6886,3466,868,8,8,0,0,0,0,1,0,2,0,49,48,45,41,2,0,6,0,3,1,2,0,0,86,8,2,0,4,0,0,0,133.0,10.0
31872.0,249,128.0,1916.0,23,5,71,21,110,23,0,0,118,2635,396,981,4,5,4,1,2,0,26,0,3,0,49,43,42,44,13,4,94,6,33,8,3,3,1,275,48,1,0,0,0,4,2,103.0,8.0
26572.0,182,146.0,1938.0,19,6,62,25,49,17,0,0,213,5488,2144,626,4,8,6,3,1,1,3,1,2,1,57,63,50,50,5,2,17,6,11,4,4,0,0,152,48,2,0,9,4,1,0,430.0,101.0
15000.0,200,75.0,0.0,40,7,113,29,234,57,3,1,67,3425,479,636,4,6,6,0,8,1,20,8,9,3,62,57,50,50,40,21,55,26,73,15,3,4,1,608,212,2,0,16,0,1,0,291.0,29.0
27966.3,219,127.7,2016.0,8,3,62,18,50,17,0,0,56,4291,1008,577,4,10,2,1,2,1,1,0,4,1,59,63,50,55,9,1,13,3,6,3,4,0,0,148,47,1,0,0,0,1,1,252.0,124.0
14144.0,221,64.0,2015.0,13,5,53,10,74,19,2,1,320,3592,420,336,19,19,3,1,3,0,9,4,9,6,53,69,45,50,7,3,70,12,6,2,2,4,1,240,59,2,1,2,0,2,1,150.0,15.0
6930.0,165,42.0,1902.0,11,2,80,27,66,26,2,1,118,2609,1062,341,2,5,4,2,4,1,8,4,3,1,53,59,45,52,6,1,39,4,8,1,1,0,0,159,61,1,1,13,6,0,0,145.0,54.0
8978.0,134,67.0,1974.0,1,1,36,8,13,0,0,0,171,6948,1852,1504,6,9,0,0,1,0,2,1,2,0,44,44,35,36,2,1,5,0,5,3,3,0,0,27,7,0,0,0,0,0,0,22.0,6.0
13722.800000000001,169,81.2,1957.0,8,3,48,26,44,18,0,0,34,3199,191,1490,4,7,3,2,1,0,3,3,1,0,48,48,48,41,4,2,45,8,25,14,3,2,2,82,36,0,0,0,0,4,3,32.0,10.0
4399.2,104,42.3,1985.0,9,3,65,22,20,2,1,0,196,7613,548,1949,2,12,1,1,0,0,0,0,2,0,35,47,32,47,2,1,8,2,2,2,2,1,0,95,16,0,0,6,3,0,0,51.0,4.0
11840.0,160,74.0,2017.0,16,4,55,21,41,5,0,0,345,5569,2146,676,5,20,3,3,1,1,3,0,3,0,60,43,55,42,5,2,13,3,10,2,2,0,0,135,42,2,0,7,3,1,0,346.0,27.0
22443.4,287,78.2,1831.0,50,10,79,17,397,100,4,2,304,700,380,902,3,5,9,1,8,3,128,20,6,3,52,67,40,52,152,37,276,37,175,31,2,8,2,771,178,1,0,19,8,7,4,309.0,53.0
4272.0,89,48.0,1973.0,6,1,49,18,22,8,1,1,138,8940,2301,813,8,9,1,1,0,0,0,0,3,2,39,60,36,60,2,0,7,0,14,3,2,0,0,123,30,1,0,8,4,0,0,55.0,3.0
17991.6,141,127.6,0.0,29,5,100,20,286,70,1,0,157,2037,311,754,3,4,9,4,4,0,73,21,7,2,51,44,45,40,39,13,265,69,64,12,3,5,2,758,172,3,0,17,4,0,0,169.0,16.0
0.0,0,93.0,,6,6,30,12,9,7,0,0,25,8547,1921,136,5,5,1,0,0,0,1,0,0,0,37,37,33,33,1,1,9,91320086,4,0,81,74,1,1,6,1,0,0,55,46,1957,,
8740.0,95,92.0,0.0,5,1,90,38,127,40,0,0,76,3034,742,1517,3,6,7,1,2,0,21,6,6,1,51,39,42,32,16,5,126,27,36,10,3,2,0,359,134,0,0,15,7,1,0,98.0,12.0
31900.0,290,110.0,2016.0,13,4,69,25,76,25,0,0,211,2820,608,1311,9,9,3,2,2,0,18,0,2,0,51,55,45,50,5,2,65,18,30,11,3,3,0,199,73,0,0,0,0,5,2,76.0,15.0
6849.900000000001,129,53.1,0.0,5,1,33,5,14,4,0,0,174,5011,504,2827,2,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,1,1,0,73,6,0,0,8,3,1,0,24.0,14.0
14457.0,183,79.0,2005.0,0,0,0,0,8,2,0,0,1225,7021,2536,1525,11,19,1,0,0,0,0,0,0,0,53,52,45,42,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,124.0,25.0
3586.0,163,22.0,1955.0,14,3,86,17,109,17,2,1,225,2320,254,600,2,4,8,1,7,3,24,3,8,4,51,51,40,40,15,3,119,36,25,1,0,4,2,373,93,4,0,6,0,0,0,200.0,55.0
4968.0,138,36.0,1884.0,16,2,85,12,109,11,3,0,68,2243,713,717,1,5,7,1,8,2,20,5,8,1,53,53,45,46,14,0,95,15,19,4,2,4,0,311,24,3,0,14,0,0,0,149.0,64.0
28928.0,128,226.0,2011.0,0,0,10,0,1,0,0,0,883,8362,1460,1086,8,8,0,0,0,0,0,0,0,0,46,43,40,37,0,0,0,0,0,0,4,0,0,6,0,0,0,5,0,0,0,84.0,63.0
16456.0,242,68.0,2001.0,12,1,58,14,47,2,0,0,66,4149,1251,770,3,9,1,0,2,0,3,0,2,0,60,60,50,55,5,0,11,1,5,2,2,0,0,130,7,1,0,0,0,1,0,212.0,97.0
24964.0,316,79.0,1899.0,9,1,57,8,145,25,0,0,261,2666,457,1573,2,5,8,2,3,2,34,6,5,0,61,39,48,40,20,6,142,21,53,13,3,7,1,240,25,0,0,0,0,5,0,81.0,12.0
7101.0,135,52.6,0.0,5,1,33,5,14,4,0,0,174,5011,504,2827,4,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,1,1,0,73,6,0,0,8,3,1,0,24.0,14.0
8483.800000000001,169,50.2,1800.0,55,17,80,34,479,142,5,3,143,353,130,624,1,5,7,5,5,2,146,52,12,0,51,46,40,30,191,53,298,105,103,34,1,10,2,925,205,5,0,19,9,6,3,450.0,134.0
16800.0,105,160.0,2004.0,10,5,96,32,20,9,1,0,64,8820,298,2933,17,24,2,1,3,0,0,0,3,1,35,34,32,32,3,1,9,2,3,1,3,2,1,152,62,0,0,12,6,0,0,51.0,44.0
